id,timestamp,protocol,field,old_value,new_value,old_hash,new_hash
1,1648140061.856091,IPv4,src,192.168.1.115,0.224.172.208,46b52552aae0331482fb6d96e157d116384901cfef2e16621450096c9bfcdb90,9cc1caf094c0d2a4f19f2c57b05bf593bc6005cc6a6b22aec552381770941fee
2,1648140061.856140,IPv4,src,192.168.1.115,115.42.59.203,697a919b50fb082cc8ab3a177292833c28e397c41ad59c39337da743b3440495,bdcfb156b159c38f076db71e4fea1e396f157e0db364c3fd73fab6539216a499
3,1648140061.939565,IPv4,src,192.168.1.115,231.58.137.244,466cfbbf5845d81c54a9816e62cb44aea52a518390c3373568267480e73bf286,b63e62b5e5cc8d8b9f9de83867b14dcd412f94f1b6040f13a37e93bc7c8a9d77
4,1648140061.939995,IPv4,dst,192.168.1.222,51.33.226.59,b244e01cc320593858a99f40f9bb8b39fdca1feba40fadce575e327292f6996f,825e6f7ec236aa813606adb50d0375d56c409243832ea765c4efab5b8f7589a4
5,1648140061.941329,IPv4,dst,192.168.1.222,41.182.163.85,1df8a6fd6ebbde57e2fb6cb280ffa4ba574624731e0f021ba4699525e06c8a9e,143139bf3fac742596dd2c8cc43160a55c694a30c192418fff2d93cfd1ba5be9
6,1648140061.942138,IPv4,src,192.168.1.115,197.80.106.244,abe8a29871363bf406f4ff7ef69d414fd7fab3812583caf83b9cebe23fe6f6d6,c5527b28b0e0f91c660972246574f6111c62b5621f294bc10352c0b04c361d13
7,1648140061.943522,IPv4,src,192.168.1.115,181.226.87.127,ba12a5648566e7af6addf0031450d5e0e880da5bf87c2b338da46ae4707cff9d,90fce3e9728d7682544248de1e1401036c8533ecaf53cf9dc47b7f73dbebcf56
8,1648140062.031525,IPv4,src,192.168.1.115,80.239.144.104,c644e7b3c351187951e972dd22e1322f22477c9183e93553145c2342d8215093,30d102de1e9006160afb1cc7cb0ec76c53191432afee55a3ff473a26b5fb1c67
9,1648140062.032164,IPv4,dst,192.168.1.222,243.23.51.79,b1d26cdd83eb2796af41db6818d76ff0545963c18ab6e5b1d67b7464aa394590,b74625fa6446d5a3f88b35b416bb0a94698ce3c0671dc14ab4f5395b24dd782f
10,1648140062.032834,IPv4,dst,192.168.1.222,237.30.59.9,91286a8b77b84d89ad6833d0103f6239ac5cc740b2df65e7a500540243f8c246,aa20a7d13f871508e2999a88905c4b07dd0fb6402fdd577a52aaabc278605ac6
